Estado,cve_edo,business_index,Normalized
Aguascalientes,1,85.66,0.366603254
Estado de México,15,86.26,0.610198086
Colima,6,86.36,0.650797224
Puebla,21,86.84,0.84567309
Sinaloa,25,86.79,0.82537352
Guanajuato,11,86.47,0.695456277
Durango,10,84.28,-0.193664859
San Luis Potosí,24,86.24,0.602078258
Jalisco,14,85.68,0.374723082
Veracruz,30,85.88,0.455921359
Querétaro,22,86.75,0.809133865
Sonora,26,85.61,0.346303685
Nuevo León,19,87.81,1.239484734
Chiapas,7,80.94,-1.549676089
Campeche,4,84.75,-0.002848908
Tamaulipas,28,86.02,0.512760153
Coahuila,5,84.28,-0.193664859
Yucatán,31,86.78,0.821313606
Hidalgo,13,81.34,-1.387279535
Michoacán,16,86.22,0.59395843
Tabasco,27,84.16,-0.242383826
Nayarit,18,84.67,-0.035328219
Tlaxcala,29,86.59,0.744175243
Morelos,17,86.48,0.699516191
Quintana Roo,23,75.07,-3.932845526
Zacatecas,32,84.93,0.070229542
Chihuahua,8,80.8,-1.606514883
Baja California Sur,3,83.67,-0.441319605
Baja California,2,82.84,-0.778292455
Guerrero,12,85.04,0.114888594
Ciudad de México,9,85.17,0.167667475
Oaxaca,20,83.04,-0.697094178